Scenario_SplHitLine(Clone)_1
time;Consigne;PlayerMvt;Hit;BPM;Ax /;Ay /;Az /;Gx /;Gy /;Gz /;Mx /;My /;Mz /;Gesture /;probability/
8,783211;3,597528;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,803211;3,597583;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,823212;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,84321;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,863211;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,883211;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,903212;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,92321;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,943211;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,963211;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,983212;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,00321;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,023211;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,043211;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,063211;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,08321;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,10321;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,123211;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,143211;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,16321;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,18321;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,203211;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,223211;3,597556;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,243212;3,597556;0;True;0;0;0;0;0;0;0;0;0;0;0;0
9,26321;2,697528;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,283211;1,797638;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,303211;0,897638;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,323212;-0,002362061;0; ;0;0;0;0;0;0;0;0;0;0;0;0
9,34321;-0,9023346;0; ;0;0;0;0;0;0;0;0;0;0;0;0
